Constituency_ID,Constituency_Name,State,Registered_Voters,Votes_Polled,Turnout_Percentage
3,East Delhi,NCT OF Delhi,2121610,1264411,59.6
4,New Delhi,NCT OF Delhi,1526694,847764,55.53
5,North-West Delhi (SC),NCT OF Delhi,2569274,1490322,58.01
6,West Delhi,NCT OF Delhi,2592498,1524751,58.81
7,South Delhi,NCT OF Delhi,2293698,1296306,56.52
1,Lakshadweep (ST),Lakshadweep,57953,49247,84.98
1,PUDUCHERRY,Puducherry,1024024,811432,79.24
1,BARAMULLA,Jammu and Kashmir,1744525,1034722,59.31
2,SRINAGAR,Jammu and Kashmir,1748803,676408,38.68
3,ANANTNAG-RAJOURI,Jammu and Kashmir,1849517,1026420,55.5
4,UDHAMPUR,Jammu and Kashmir,1640846,1115491,67.98
5,JAMMU,Jammu and Kashmir,1818657,1309825,72.02
1,Ladakh,Ladakh,190576,135662,71.19
All India Total,All India Total,All India Total,977965560,646420869,66.1
