Candidate_ID,Candidate_Name,Party_Name
118,VADDI LALITH KUMAR,Independent
119,PATHURI RAMESH,Peoples Party of India (Democratic)
120,G M HARISH (BALAYOGI),Telugu Desam
121,KAPA KALYAN,Republican Party of India (A)
122,GOUTHAM JANGA,Indian National Congress
123,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party
124,MATHA KRISHNA,Pyramid Party of India
125,YALANGI RAMESH,Jaibhim Rao Bharat Party
126,MAKEY DAVY PRASAD,Independent
127,RAMESH JILLELLA,Jatiya Jana Sena Party
128,GIDDI JNANA PRAKASA RAO,Republican Party of India
129,KATRU NAGA BABU,Telugu Nava Garjana Party
130,GUDE VENKATESWARULU,Independent
131,DORABABU YALLA,Bahujan Samaj Party
132,YADLA RAJESH,Liberation Congress Party
133,JALLI BALA NAVEENA,Independent
134,GIDUGU RUDRARAJU,Indian National Congress
135,BOMMANABOINA VSR MURTHY,Independent
136,MOHANARAO SINGULURI,Jai Bharat National Party
137,SALOPANTULA RAGHAVENDRA RAO,Independent
138,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
139,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
140,BATTULA BALARAMAKRISHNA,Navarang Congress Party
141,BHANU CHANDAR KURUVELLA,Independent
142,GANESWARA RAO PARAMATA,Bahujan Samaj Party
143,DR. MEDISI RATNARAO ALIAS VINAY,Independent
144,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular)
145,SIRRA RAJU,Bahujan Samaj Party
146,NALLI RAJESH,Independent
147,ADDANKI DORABABU,Independent
148,ADABALA SIVA,Independent
149,ADINARAYANA DUPPANAPUDI,Independent
150,PRASANNA KUMAR UNDURTHI,Independent
151,K.B.R.NAIDU,Indian National Congress
152,BALAGAM NAYAKAR,Independent
153,GANJI PURNIMA,Republican Party of India (A)
154,RUKHMINI,Independent
155,GOTTUMUKKALA SHIVAJI,Independent
156,GEDALA LAXMANA RAO,Independent
157,ANAND CHANDULAL JASTI,Independent
158,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party
159,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent
160,RAMA DURGA PRASAD THOLETI,Independent
161,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party
162,KETHA SREENU,Independent
163,MEDAPATI VENKATA VARAHALA REDDY,Independent
164,MANNE LEELA RAMA NARENDRA,Pyramid Party of India
165,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party
166,AJAY BABU BODA,Navarang Congress Party
167,KANDAVALLI JEEVA DEVA DAYAKAR,Independent
168,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party
169,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party
170,KAVURI LAVANYA,Indian National Congress
171,PUTTA MAHESH KUMAR,Telugu Desam
172,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India
173,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party
174,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party
175,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party
176,AGASTEEN KOMMINA,Independent
177,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi
178,BOKINALA KOTESWARA RAO,Independent
179,MARADANI K R SWAMY,Jai Maha Bharath Party
180,DEVAMANI DEVARAPALLI,Bahujan Samaj Party
181,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party
182,PAMULA BALA SOWRYAMMA,Independent
183,DAMODARA RAO GUDAVALLI,Independent
184,BALASHOWRY VALLABHANENI,Janasena Party
185,ANUSHA YERUVA,Independent
186,APPARAO ENNETI,Independent
187,JOGI VEERANJANEYULU,Independent
188,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc
189,GUDAVALLI VENKATA KEDARESWARA RAO,Independent
190,GANDHI  DHANEKULA,Independent
191,GOLLU KRISHNA,Indian National Congress
192,VALLABHANENI NAGA PAVAN KUMAR,Independent
193,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party
194,MEKA VENKATESWARA RAO,Bahujan Samaj Party
195,DATLA LURTHU MERI,Jaibhim Rao Bharat Party
196,KESINENI SIVANATH (CHINNI),Telugu Desam
197,BHARGAV VALLURU,Indian National Congress
198,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale)
199,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party
200,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi
201,VENKATA ASHOK PAPPURI,Independent
202,KRISHNA KISHORE YANAMANDRA,Navataram Party
203,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party
204,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent
205,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India
206,N DASARADHA RAMI REDDY,All India Jaihind Party
207,SYED KHAMURUNNISA,Navarang Congress Party
208,ANIL KUMAR MADDINENI,Independent
209,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party
210,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST)
211,SIVA PARVATHI,Independent
212,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi
213,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam
214,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party
215,BURAGA RATNAM,Loktantrik Janta Dal
216,ASHOK ANAND GALI,Independent
217,MADAVARAPU NAGA RAJU,Independent
218,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi
219,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party
220,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party
221,EMANI. CHANDRASEKHAR RAO,Navodayam Party
222,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party
223,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party
224,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United)
225,JANGALA AJAY KUMAR,Communist Party of India
226,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent
227,KANNEBOYINA VAMSI KRISHNA YADAV,Independent
228,SIVAREDDY. ENDREDDY,Navataram Party
229,PILLI BABU RAO,Independent
230,TENALI PRAKASH,Bahujan Samaj Party
231,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party
232,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi
233,SHAIK. KHAJAVALI,Independent
234,BOMMASANI MUTYALA RAO,All Peoples Party
235,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule)
236,SYED. SAIDA,Navarang Congress Party
237,SHAIK ASLAM AKTHER,Independent
